Bucket,Task name,Assigned to,Hours,Step,Track,Labels,Checklist,LLDD link
To do,[BE] API Document List and Search,But,26,3,BE,Step 3 | BE | API | WORKFLOW | 16-30 hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Document-List-Search.pdf
To do,[BE] API Document Workflow Actions,Vava,37,3,BE,Step 3 | BE | API | WORKFLOW | 31+ hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Document-Workflow-Actions.pdf
To do,[BE] API Lookup,Vava,13,3,BE,Step 3 | BE | API | 8-15 hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Lookup.pdf
To do,[BE] API Report and Master Data,Pete,39,3,BE,Step 3 | BE | API | 31+ hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Report-and-Master-Data.pdf
To do,[BE] Workflow Engine and API Workflow Instances,Vava,32,3,BE,Step 3 | BE | API | WORKFLOW | 31+ hrs.,controller + DTO/validation | service + SQL ตาม DB Mapping | error/response envelope | trigger event: เรียก engine ตามหัวข้อ Workflow Trigger Event Contract + mock ใน unit test | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/LLDD-BE-API-Workflow-Instances.pdf
To do,[FE] Application Foundation and Shared UI,lin,35,3,FE,Step 3 | FE | 31+ hrs.,ทำ form/UI ตาม LLDD | ต่อ API + state | validate + error state | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/FE/LLDD-FE-Foundation.pdf
To do,[Job] Job 2 ImportImpactStore,Bank,19,3,Job,Step 3 | JOBS | 16-30 hrs.,อ่านสเปก LLDD + ตั้ง config/env | เขียน runner + SQL ตามลำดับขั้น | idempotency + rerun/rollback | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/BE/Jobs/LLDD-BE-Job-2-ImportImpactStore.pdf
To do,[FE] Create Document,New,8,4,FE,Step 4 | FE | 8-15 hrs.,ทำ form/UI ตาม LLDD | ต่อ API + state | validate + error state | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/FE/LLDD-FE-Create-Document.pdf
To do,[FE] Document Detail and Action,New,75,4,FE,Step 4 | FE | 31+ hrs.,ทำ form/UI ตาม LLDD | ต่อ API + state | validate + error state | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/FE/LLDD-FE-Document-Detail.pdf
To do,[FE] Document Lists,lin,35,4,FE,Step 4 | FE | 31+ hrs.,ทำ form/UI ตาม LLDD | ต่อ API + state | validate + error state | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/FE/LLDD-FE-Document-Lists.pdf
To do,[FE] Master Data,New,20,4,FE,Step 4 | FE | 16-30 hrs.,ทำ form/UI ตาม LLDD | ต่อ API + state | validate + error state | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/FE/LLDD-FE-Master-Data.pdf
To do,[FE] Status Summary Report,lin,25,4,FE,Step 4 | FE | 16-30 hrs.,ทำ form/UI ตาม LLDD | ต่อ API + state | validate + error state | unit test ตามขอบเขตใน LLDD,https://cpallgroup.sharepoint.com/sites/MST-GO0666ITHW2025ReplaceSBPManagementSystem/Shared%20Documents/General/04-Analysis%20%26%20Design/LLDD/Non-Baseline/Phase%204%20%5BSBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89%2C%20Contract%20Management%20%28%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%AD%E0%B8%99%29%5D/SBP%20Operating%20Management%20%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%94%E0%B9%89/FE/LLDD-FE-Report.pdf
